2018-02-25 17:35:45 startup archives unpack
2018-02-25 17:35:53 install gddrescue:armhf <none> 1.19-1
2018-02-25 17:35:53 status half-installed gddrescue:armhf 1.19-1
2018-02-25 17:35:54 status triggers-pending install-info:armhf 5.2.0.dfsg.1-6
2018-02-25 17:35:56 status triggers-pending man-db:armhf 2.7.5-1~bpo8+1
2018-02-25 17:35:58 status unpacked gddrescue:armhf 1.19-1
2018-02-25 17:35:59 status unpacked gddrescue:armhf 1.19-1
2018-02-25 17:35:59 trigproc install-info:armhf 5.2.0.dfsg.1-6 <none>
2018-02-25 17:35:59 status half-configured install-info:armhf 5.2.0.dfsg.1-6
2018-02-25 17:36:00 status installed install-info:armhf 5.2.0.dfsg.1-6
2018-02-25 17:36:00 trigproc man-db:armhf 2.7.5-1~bpo8+1 <none>
2018-02-25 17:36:00 status half-configured man-db:armhf 2.7.5-1~bpo8+1
2018-02-25 17:36:02 status installed man-db:armhf 2.7.5-1~bpo8+1
2018-02-25 17:36:02 startup packages configure
2018-02-25 17:36:02 configure gddrescue:armhf 1.19-1 <none>
2018-02-25 17:36:02 status unpacked gddrescue:armhf 1.19-1
2018-02-25 17:36:03 status half-configured gddrescue:armhf 1.19-1
2018-02-25 17:36:03 status installed gddrescue:armhf 1.19-1
2018-02-25 17:36:03 startup packages configure
2018-02-25 17:41:59 startup packages purge
2018-02-25 17:41:59 status installed build-essential:armhf 11.7
2018-02-25 17:42:02 remove build-essential:armhf 11.7 <none>
2018-02-25 17:42:02 status half-configured build-essential:armhf 11.7
2018-02-25 17:42:03 status half-installed build-essential:armhf 11.7
2018-02-25 17:42:04 status config-files build-essential:armhf 11.7
2018-02-25 17:42:04 status config-files build-essential:armhf 11.7
2018-02-25 17:42:04 status config-files build-essential:armhf 11.7
2018-02-25 17:42:04 status not-installed build-essential:armhf <none>
2018-02-25 17:42:04 status installed dpkg-dev:all 1.17.27
2018-02-25 17:42:04 remove dpkg-dev:all 1.17.27 <none>
2018-02-25 17:42:04 status half-configured dpkg-dev:all 1.17.27
2018-02-25 17:42:04 status half-installed dpkg-dev:all 1.17.27
2018-02-25 17:42:04 status triggers-pending man-db:armhf 2.7.5-1~bpo8+1
2018-02-25 17:42:11 status config-files dpkg-dev:all 1.17.27
2018-02-25 17:42:11 purge dpkg-dev:all 1.17.27 <none>
2018-02-25 17:42:11 status config-files dpkg-dev:all 1.17.27
2018-02-25 17:42:12 status config-files dpkg-dev:all 1.17.27
2018-02-25 17:42:12 status config-files dpkg-dev:all 1.17.27
2018-02-25 17:42:12 status config-files dpkg-dev:all 1.17.27
2018-02-25 17:42:13 status config-files dpkg-dev:all 1.17.27
2018-02-25 17:42:13 status not-installed dpkg-dev:all <none>
2018-02-25 17:42:13 status installed xz-utils:armhf 5.1.1alpha+20120614-2
2018-02-25 17:42:13 remove xz-utils:armhf 5.1.1alpha+20120614-2 <none>
2018-02-25 17:42:13 status half-configured xz-utils:armhf 5.1.1alpha+20120614-2
2018-02-25 17:42:13 status half-installed xz-utils:armhf 5.1.1alpha+20120614-2
2018-02-25 17:42:13 status config-files xz-utils:armhf 5.1.1alpha+20120614-2
2018-02-25 17:42:13 status config-files xz-utils:armhf 5.1.1alpha+20120614-2
2018-02-25 17:42:13 status config-files xz-utils:armhf 5.1.1alpha+20120614-2
2018-02-25 17:42:13 status not-installed xz-utils:armhf <none>
2018-02-25 17:42:13 trigproc man-db:armhf 2.7.5-1~bpo8+1 <none>
2018-02-25 17:42:13 status half-configured man-db:armhf 2.7.5-1~bpo8+1
2018-02-25 17:42:13 status installed man-db:armhf 2.7.5-1~bpo8+1
2018-02-25 17:42:13 startup packages configure
2018-02-25 17:43:18 startup packages purge
2018-02-25 17:43:18 status installed crda:armhf 3.13-1
2018-02-25 17:43:19 remove crda:armhf 3.13-1 <none>
2018-02-25 17:43:19 status half-configured crda:armhf 3.13-1
2018-02-25 17:43:19 status half-installed crda:armhf 3.13-1
2018-02-25 17:43:20 status triggers-pending man-db:armhf 2.7.5-1~bpo8+1
2018-02-25 17:43:20 status config-files crda:armhf 3.13-1
2018-02-25 17:43:20 purge crda:armhf 3.13-1 <none>
2018-02-25 17:43:20 status config-files crda:armhf 3.13-1
2018-02-25 17:43:20 status config-files crda:armhf 3.13-1
2018-02-25 17:43:20 status config-files crda:armhf 3.13-1
2018-02-25 17:43:20 status config-files crda:armhf 3.13-1
2018-02-25 17:43:20 status config-files crda:armhf 3.13-1
2018-02-25 17:43:20 status not-installed crda:armhf <none>
2018-02-25 17:43:20 status installed fakeroot:armhf 1.20.2-1
2018-02-25 17:43:20 remove fakeroot:armhf 1.20.2-1 <none>
2018-02-25 17:43:20 status half-configured fakeroot:armhf 1.20.2-1
2018-02-25 17:43:20 status half-installed fakeroot:armhf 1.20.2-1
2018-02-25 17:43:22 status config-files fakeroot:armhf 1.20.2-1
2018-02-25 17:43:22 purge fakeroot:armhf 1.20.2-1 <none>
2018-02-25 17:43:22 status config-files fakeroot:armhf 1.20.2-1
2018-02-25 17:43:22 status config-files fakeroot:armhf 1.20.2-1
2018-02-25 17:43:23 status config-files fakeroot:armhf 1.20.2-1
2018-02-25 17:43:23 status config-files fakeroot:armhf 1.20.2-1
2018-02-25 17:43:23 status config-files fakeroot:armhf 1.20.2-1
2018-02-25 17:43:23 status not-installed fakeroot:armhf <none>
2018-02-25 17:43:23 status installed g++:armhf 4:4.9.2-2
2018-02-25 17:43:24 remove g++:armhf 4:4.9.2-2 <none>
2018-02-25 17:43:24 status half-configured g++:armhf 4:4.9.2-2
2018-02-25 17:43:24 status half-installed g++:armhf 4:4.9.2-2
2018-02-25 17:43:24 status config-files g++:armhf 4:4.9.2-2
2018-02-25 17:43:24 status config-files g++:armhf 4:4.9.2-2
2018-02-25 17:43:24 status config-files g++:armhf 4:4.9.2-2
2018-02-25 17:43:24 status not-installed g++:armhf <none>
2018-02-25 17:43:24 status installed g++-4.9:armhf 4.9.2-10
2018-02-25 17:43:24 remove g++-4.9:armhf 4.9.2-10 <none>
2018-02-25 17:43:24 status half-configured g++-4.9:armhf 4.9.2-10
2018-02-25 17:43:24 status half-installed g++-4.9:armhf 4.9.2-10
2018-02-25 17:43:24 status config-files g++-4.9:armhf 4.9.2-10
2018-02-25 17:43:24 status config-files g++-4.9:armhf 4.9.2-10
2018-02-25 17:43:24 status config-files g++-4.9:armhf 4.9.2-10
2018-02-25 17:43:24 status not-installed g++-4.9:armhf <none>
2018-02-25 17:43:25 status installed gcc:armhf 4:4.9.2-2
2018-02-25 17:43:25 remove gcc:armhf 4:4.9.2-2 <none>
2018-02-25 17:43:25 status half-configured gcc:armhf 4:4.9.2-2
2018-02-25 17:43:25 status half-installed gcc:armhf 4:4.9.2-2
2018-02-25 17:43:25 status config-files gcc:armhf 4:4.9.2-2
2018-02-25 17:43:25 status config-files gcc:armhf 4:4.9.2-2
2018-02-25 17:43:25 status config-files gcc:armhf 4:4.9.2-2
2018-02-25 17:43:26 status not-installed gcc:armhf <none>
2018-02-25 17:43:26 status installed gcc-4.9:armhf 4.9.2-10
2018-02-25 17:43:26 remove gcc-4.9:armhf 4.9.2-10 <none>
2018-02-25 17:43:26 status half-configured gcc-4.9:armhf 4.9.2-10
2018-02-25 17:43:26 status half-installed gcc-4.9:armhf 4.9.2-10
2018-02-25 17:43:30 status config-files gcc-4.9:armhf 4.9.2-10
2018-02-25 17:43:32 status config-files gcc-4.9:armhf 4.9.2-10
2018-02-25 17:43:32 status config-files gcc-4.9:armhf 4.9.2-10
2018-02-25 17:43:32 status not-installed gcc-4.9:armhf <none>
2018-02-25 17:43:32 status installed iw:armhf 3.17-1
2018-02-25 17:43:32 remove iw:armhf 3.17-1 <none>
2018-02-25 17:43:32 status half-configured iw:armhf 3.17-1
2018-02-25 17:43:33 status half-installed iw:armhf 3.17-1
2018-02-25 17:43:33 status config-files iw:armhf 3.17-1
2018-02-25 17:43:33 status config-files iw:armhf 3.17-1
2018-02-25 17:43:33 status config-files iw:armhf 3.17-1
2018-02-25 17:43:33 status not-installed iw:armhf <none>
2018-02-25 17:43:33 status installed libalgorithm-merge-perl:all 0.08-2
2018-02-25 17:43:33 remove libalgorithm-merge-perl:all 0.08-2 <none>
2018-02-25 17:43:33 status half-configured libalgorithm-merge-perl:all 0.08-2
2018-02-25 17:43:33 status half-installed libalgorithm-merge-perl:all 0.08-2
2018-02-25 17:43:33 status config-files libalgorithm-merge-perl:all 0.08-2
2018-02-25 17:43:33 status config-files libalgorithm-merge-perl:all 0.08-2
2018-02-25 17:43:33 status config-files libalgorithm-merge-perl:all 0.08-2
2018-02-25 17:43:33 status not-installed libalgorithm-merge-perl:all <none>
2018-02-25 17:43:33 status installed libalgorithm-diff-xs-perl:armhf 0.04-3+b1
2018-02-25 17:43:33 remove libalgorithm-diff-xs-perl:armhf 0.04-3+b1 <none>
2018-02-25 17:43:33 status half-configured libalgorithm-diff-xs-perl:armhf 0.04-3+b1
2018-02-25 17:43:33 status half-installed libalgorithm-diff-xs-perl:armhf 0.04-3+b1
2018-02-25 17:43:34 status config-files libalgorithm-diff-xs-perl:armhf 0.04-3+b1
2018-02-25 17:43:34 status config-files libalgorithm-diff-xs-perl:armhf 0.04-3+b1
2018-02-25 17:43:34 status config-files libalgorithm-diff-xs-perl:armhf 0.04-3+b1
2018-02-25 17:43:34 status not-installed libalgorithm-diff-xs-perl:armhf <none>
2018-02-25 17:43:34 status installed libalgorithm-diff-perl:all 1.19.02-3
2018-02-25 17:43:34 remove libalgorithm-diff-perl:all 1.19.02-3 <none>
2018-02-25 17:43:34 status half-configured libalgorithm-diff-perl:all 1.19.02-3
2018-02-25 17:43:34 status half-installed libalgorithm-diff-perl:all 1.19.02-3
2018-02-25 17:43:34 status config-files libalgorithm-diff-perl:all 1.19.02-3
2018-02-25 17:43:34 status config-files libalgorithm-diff-perl:all 1.19.02-3
2018-02-25 17:43:34 status config-files libalgorithm-diff-perl:all 1.19.02-3
2018-02-25 17:43:34 status not-installed libalgorithm-diff-perl:all <none>
2018-02-25 17:43:34 status installed libstdc++-4.9-dev:armhf 4.9.2-10
2018-02-25 17:43:34 remove libstdc++-4.9-dev:armhf 4.9.2-10 <none>
2018-02-25 17:43:34 status half-configured libstdc++-4.9-dev:armhf 4.9.2-10
2018-02-25 17:43:34 status half-installed libstdc++-4.9-dev:armhf 4.9.2-10
